country,count_earthquakes_2025
United States of America,95402
Canada,3891
Puerto Rico,898
Mexico,404
Chile,362
China,352
Indonesia,315
Ethiopia,265
Argentina,236
Papua New Guinea,192
Afghanistan,191
Russia,161
Peru,157
Iran,156
Myanmar,147
Japan,127
Philippines,118
Turkey,116
Bolivia,81
Tajikistan,81
Colombia,71
Taiwan,56
Dominican Rep.,55
New Zealand,52
Ecuador,47
Pakistan,46
Greece,40
Guatemala,37
India,33
Venezuela,23
Kyrgyzstan,19
Australia,16
Solomon Is.,16
Tanzania,16
Costa Rica,15
Poland,15
Italy,15
Iceland,13
El Salvador,13
Kazakhstan,12
Mongolia,11
Nepal,11
Cyprus,10
Greenland,10
Brazil,9
Dem. Rep. Congo,9
Nicaragua,8
Vanuatu,8
Vietnam,8
Uzbekistan,7
Romania,6
Saudi Arabia,6
Iraq,6
Algeria,6
Bangladesh,6
Panama,5
France,4
Morocco,4
Timor-Leste,4
Albania,3
Bosnia and Herz.,3
South Africa,3
Mozambique,3
Honduras,3
Turkmenistan,3
Armenia,3
Azerbaijan,2
Croatia,2
United Kingdom,2
Tunisia,2
Malaysia,2
Portugal,2
Chad,2
Hungary,2
Georgia,2
Montenegro,2
Malawi,2
Djibouti,1
Burundi,1
Bhutan,1
Eritrea,1
Haiti,1
Laos,1
Gabon,1
Norway,1
Netherlands,1
Oman,1
Spain,1
Switzerland,1
Thailand,1
United Arab Emirates,1
Zimbabwe,1
